crew_id,name,born_year,death_year,profession,known_for
nm0493923,Kalpana Lajmi,1954,2018,director|writer|producer,tt0233635|tt0273164|tt0454429|tt0108001
nm0536818,Balu Mahendra,1939,2014,director|cinematographer|writer,tt0235858|tt0235522|tt0187318|tt0235891
nm0538297,Phani Majumdar,1911,1994,director|writer|assistant_director,tt0235963|tt0236554|tt0236281|tt0236210
nm0538305,Sushil Majumdar,1906,1988,director|actor|writer,tt0237037|tt0237394|tt0061474|tt0237367
nm0539491,Harmesh Malhotra,1936,2005,director|producer|writer,tt0237021|tt0237437|tt0237564|tt0104404
nm0542478,Manivannan,1954,2013,actor|director|writer,tt0319588|tt10225748|tt1784557|tt0309925
nm0561360,Raju Mavani,1957,2019,actor|producer|director,tt0483786|tt0121395|tt0286723|tt0343048
nm0576454,Mehmood,1932,2004,actor|music_department|director,tt0071730|tt0109117|tt0068305|tt0327648
nm0576488,Prakash Mehra,1939,2009,director|music_department|producer,tt0239452|tt0239654|tt0105897|tt0082644
nm0576495,Vinod Mehra,1945,1990,actor|music_department|director,tt0314487|tt0154695|tt0187109|tt0231416
nm0576543,Ashok Mehta,1947,2012,cinematographer|camera_department|director,tt0081968|tt0346723|tt0119239|tt0301240
nm0580337,Ismail Merchant,1936,2005,producer|director|actor,tt0107943|tt0091867|tt0104454|tt0282771
nm0592985,Babubhai Mistry,1918,2010,special_effects|director|art_director,tt0242840|tt0242504|tt0242576|tt0242832
nm0592991,Fali Mistry,1919,1979,cinematographer|director|producer,tt0059246|tt0154685|tt0298327|tt0386542
nm0593945,Bibhuti Mitra,1915,1989,director|producer,tt0242301|tt0052065|tt0242639|tt0242836
nm0593963,Sombhu Mitra,1915,1997,actor|director|writer,tt0243557|tt0215457|tt0047215|tt0049378
nm0595271,Sohrab Modi,1897,1984,actor|director|producer,tt0274577|tt0031829|tt0243340|tt0137958
nm0609359,Motilal,1910,1965,actor|director|writer,tt0252318|tt0047990|tt0158908|tt0231764
nm0611527,Gyan Mukherjee,1909,1956,director|writer|producer,tt0244182|tt0033772|tt9477376|tt0139608
nm0611531,Hrishikesh Mukherjee,1922,2006,director|editor|writer,tt0066763|tt0137362|tt0137361|tt0147855
nm0611535,Joy Mukherjee,1939,2012,actor|director|producer,tt0063111|tt0214639|tt0257475|tt0055949
nm0611542,Prabhat Mukherjee,1917,1997,director|writer,tt0232484|tt1920854|tt1402504|tt1402536
nm0611582,Subodh Mukherji,1921,2005,producer|director|writer,tt0050829|tt0244977|tt0055035|tt0178218
nm0612280,Amar Mullick,1899,1972,actor|director|writer,tt0245142|tt0244991|tt0245089|tt0244948
nm0612730,Jag Mundhra,1948,2011,director|writer|editor,tt0110118|tt0119357|tt0095400|tt0280465
nm0619053,Shankar Nag,1954,1990,actor|director|writer,tt2355603|tt0245222|tt0245333|tt0245156
nm0619102,Ravikant Nagaich,1931,1991,director|cinematographer|special_effects,tt0246261|tt0246086|tt0068938|tt0246286
nm0619656,D. Rama Naidu,1936,2015,producer|actor|director,tt0072026|tt0091267|tt0154201|tt0363567
nm0620787,J.K. Nanda,1904,1983,director|writer|actor,tt0137958|tt0246453|tt0246845|tt0134615
nm0621187,Najam Naqvi,1913,1982,director|actor|assistant_director,tt0247681|tt0032951|tt1502901|tt1620552
nm0621210,S.D. Narang,1918,1986,director|producer|actor,tt0247296|tt0247291|tt0246923|tt0247680
nm0621261,Chitrapu Narayana Rao,1913,1985,director|producer,tt0247203|tt0247465|tt0247682|tt0247202
nm0623178,Raja Nawathe,1924,2005,director|assistant_director|editor,tt0045467|tt0247502|tt0247394|tt0176012
nm0623321,Sadhana,1941,2015,actress|director|soundtrack,tt0058921|tt0232960|tt0071541|tt0059893
nm0626047,Raja Nene,1912,1975,director|actor|assistant_director,tt0247974|tt0248343|tt0037209|tt0247977
nm0645350,S.K. Ojha,1921,1980,director|writer|producer,tt0176272|tt0177482|tt0133014|tt0248218
nm0645802,Atsuo Okunaka,1930,2012,director,tt0156675|tt0185062|tt0182628|tt0182555
nm0657706,Nitai Palit,1923,1990,director|writer|producer,tt0249385|tt0249469|tt0249384|tt0249778
nm0659549,S. Panju,1915,1984,director,tt0234195|tt0233650|tt0234959|tt0234700
nm0659849,B. Ramakrishnaiah Panthulu,1910,1974,director|actor|producer,tt0250461|tt0250339|tt0250240|tt0250317
nm0695153,T. Prakash Rao,1924,1992,director|assistant_director|writer,tt0254698|tt0061046|tt0254081|tt0254842
nm0695162,J. Om Prakash,1927,2019,director|producer|miscellaneous,tt0778604|tt0247915|tt0130731|tt0178204
nm0695170,Om Prakash,1919,1998,actor|director|producer,tt0084385|tt0176075|tt0057332|tt0214653
nm0695264,L.V. Prasad,1908,1994,director|producer|actor,tt0148353|tt0050956|tt0255267|tt0246462
nm0695581,Kolli Pratyagatma,1925,2001,director|writer|producer,tt0213973|tt0213515|tt0214037|tt0213475
nm0698661,Vasili Pronin,1905,1966,director|cinematographer,tt0050820|tt7638068|tt0174810|tt4601014
nm0706480,Vedantam Raghavaiah,1919,1971,director|miscellaneous|actor,tt0257203|tt0257209|tt0395928|tt0256719
nm0707705,O.P. Ralhan,1928,1999,actor|writer|director,tt0139525|tt0065064|tt0076515|tt0215859
nm0707856,Atma Ram,1930,1994,director|producer|assistant_director,tt0069522|tt0155076|tt0155079|tt0154865
nm0708001,S. Ramanathan,1929,2013,director|producer|miscellaneous,tt6567340|tt0068305|tt0361508|tt0253691
nm0708451,K. Ramnoth,1912,1956,director|cinematographer|writer,tt0259881|tt0260399|tt0260163|tt0260168
nm0708913,Shyam Ramsay,1952,2019,director|editor|writer,tt0259877|tt3592020|tt0260494|tt0260098
nm0708917,Tulsi Ramsay,1944,2018,director|producer|production_designer,tt0260494|tt0259877|tt0260098|tt0260411
nm0710043,Bharat Rangachary,1953,1995,director|assistant_director|miscellaneous,tt0390667|tt0117878|tt0135666|tt0290331
nm0710563,Kamalakara Kameshwara Rao,1911,1999,director|assistant_director|writer,tt1865426|tt0263992|tt0263687|tt0263623
nm0710615,V. Madhusudan Rao,1917,2012,director|writer|assistant_director,tt0263915|tt0371968|tt0263022|tt0186872
nm0710622,Y.V. Rao,1903,1973,director|actor|writer,tt0265704|tt0266002|tt0259607|tt0264830
nm0711754,Kantilal Rathod,1925,1988,director|writer|producer,tt0266885|tt0266832|tt0266681|tt0267135
nm0712540,Harnam Singh Rawail,1921,2004,director|writer|producer,tt0266757|tt0139607|tt0266765|tt0266712
nm0740274,Pamela Rooks,1958,2010,director|writer|producer,tt0170704|tt0373779|tt0104884
nm0746915,Biplab Roy Chowdhury,1942,2012,director|writer|editor,tt0267372|tt0267941|tt0306468|tt0305897
nm0746950,Bimal Roy,1909,1966,director|cinematographer|producer,tt0053319|tt0045693|tt0050665|tt0056850
nm0755500,M. Sadiq,1910,1971,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
nm0755997,Ramanand Sagar,1917,2005,producer|writer|director,tt0268416|tt0058921|tt0147811|tt0268216
nm0756393,Kishore Sahu,1915,1980,actor|director|writer,tt0049412|tt0053767|tt0268349|tt0140370
nm0756488,Ramesh Saigal,1918,1980,director|writer|producer,tt0048537|tt0268533|tt0065903|tt0055444
nm0759662,Shakti Samanta,1926,2009,director|producer|writer,tt0065416|tt0246420|tt0066758|tt0068217
nm0764314,P.L. Santoshi,1916,1978,director|writer|music_department,tt0053637|tt0268937|tt0269438|tt0134850
nm0765167,Zia Sarhadi,1914,1997,director|writer|music_department,tt0273407|tt0231156|tt0132166|tt0385852
nm0765873,I.V. Sasi,1946,2017,director|producer|writer,tt0271585|tt0291855|tt0187108|tt0290098
nm0781830,Mohan Segal,1921,2005,director|producer|actor,tt0341563|tt0049549|tt0359544|tt2113694
nm0784019,Mrinal Sen,1923,2018,director|writer|producer,tt0085785|tt0064086|tt0071317|tt0070498
nm0787429,Chandulal Shah,1898,1975,director|writer|producer,tt0046155|tt0139003|tt0259557|tt0272845
nm0787452,Krishna Shah,1938,2013,writer|director|producer,tt0078241|tt0214591|tt0296274|tt0088706
nm0787453,Kundan Shah,1947,2017,director|writer|producer,tt0085743|tt0110222|tt0328998|tt0249588
nm0787889,Shammi,1931,2018,actress|director|producer,tt0130991|tt0064506|tt0154189|tt0246286
nm0788158,K. Shankar,1926,2006,editor|director|writer,tt0314557|tt0316521|tt0317056|tt1435454
nm0788391,Shantaram Rajaram Vankudre,1901,1990,director|producer|actor,tt0331417|tt0145856|tt0036343|tt0050322
nm0788880,Kidar Nath Sharma,1910,1999,director|writer|actor,tt0039654|tt0042233|tt0141441|tt0374154
nm0794981,Roop K. Shorey,1914,1973,director|producer|actor,tt2396447|tt0331480|tt1606794|tt0364657
nm0799491,H.L.N. Simha,1904,1972,director|writer|actor,tt0369240|tt0370004|tt0272288|tt0830653
nm0802107,Dara Singh,1928,2012,actor|director|producer,tt0213300|tt0347304|tt0213108|tt0213206
nm0802377,Tapan Sinha,1924,2009,director|writer|composer,tt0322877|tt0049393|tt0123370|tt0345177
nm0802688,G.P. Sippy,1914,2007,producer|actor|director,tt0420765|tt0152256|tt0147925|tt0073707
nm0814343,Bhappi Sonie,1928,2001,director|producer|writer,tt0381079|tt0070241|tt0053791|tt0317751
nm0820232,C.V. Sridhar,1933,2008,director|writer|producer,tt0139157|tt0320119|tt0176075|tt0055220
nm0836899,Adurthi Subba Rao,1912,1975,director|writer|producer,tt0357811|tt0064244|tt0261357|tt0061974
nm0837729,S. Sukhdev,1933,1979,director|cinematographer|editor,tt0361936|tt0456274|tt0233934|tt0316322
nm0839046,T.R. Sundaram,1907,1963,director|producer|actor,tt0371170|tt0061463|tt0259430|tt0369712
nm0839348,S.U. Sunny,1915,1966,director|producer,tt0137947|tt0053999|tt0048756|tt0331186
nm0848986,Hideo Tanaka,1933,2011,director|actor,tt0184925|tt0182637|tt0159213|tt7769528
nm0849195,Lekh Tandon,1929,2017,director|actor|writer,tt0367110|tt0150417|tt0405508|tt0340091
nm0856901,Raja Thakur,1923,1975,director|editor,tt2624070|tt2613186|tt0073923|tt8482820
nm0858235,A.C. Trilogchander,1930,2016,director|writer,tt0425531|tt0469826|tt1437598|tt0457781
nm0873035,S.N. Tripathi,1913,1988,composer|actor|director,tt0246313|tt0368196|tt0824355|tt2112252
nm0890320,S.S. Vasan,1903,1969,director|producer|writer,tt0273681|tt0361434|tt0134301|tt0378751
nm0890566,Gennadiy Vasilev,1940,1999,director|writer,tt0103134|tt0242459|tt0084850|tt0101283
nm0891750,Veerendra,1948,1988,actor|director|writer,tt2038259|tt0454579|tt4633948|tt1529234
nm0894340,Deven Verma,1937,2014,actor|producer|director,tt0246493|tt0158375|tt0215517|tt0320124
nm0903423,Neeraj Vora,1963,2017,actor|writer|director,tt0242519|tt0995031|tt0495034|tt0255305
nm0905561,Homi Wadia,1911,2004,director|producer|miscellaneous,tt0372038|tt0063178|tt0268376|tt0384109
nm0905562,J.B.H. Wadia,1901,1986,writer|director|producer,tt0358194|tt0139443|tt0398671|tt0372038
nm0956511,Paul Zils,1915,1979,director|assistant_director,tt0157186|tt0156804|tt0156728|tt0275091
nm1019477,Jeeva,1963,2007,cinematographer|director|writer,tt0458184|tt1388434|tt0242519|tt0375514
nm1030405,Vijay Kapoor,1939,1990,director|writer|producer,tt0370383|tt6574506|tt2858416|tt0415480
nm1054473,Manish Acharya,1967,2010,actor|cinematographer|producer,tt0362771|tt1012757|tt8885192|tt1172203
nm1072561,Anant Balani,1962,2003,director|writer|producer,tt0382188|tt0385793|tt0102645|tt0348190
nm1126884,Shomu Mukherjee,1943,2008,writer|producer|director,tt0257475|tt0187395|tt0111067|tt0359266
nm1151372,K.B. Tilak,1926,2010,director|producer|actor,tt0327024|tt7284340|tt0333105|tt0328159
nm1253364,S.K. Subash,1959,2016,director,tt2015304|tt2459460|tt0450577|tt0333368
nm1277085,Manoj Punj,1970,2006,director|writer,tt1620971|tt0449221|tt0308875|tt0892113
nm1856787,Rajesh Pillai,1974,2016,director|producer,tt1821682|tt0448543|tt5324456|tt2939912
nm2055188,Aspi Irani,1911,1986,director|producer|writer,tt0129370|tt0155161|tt0154189|tt0068620
nm2256232,Bappaditya Bandopadhyay,1970,2015,director|writer|cinematographer,tt5303406|tt5465450|tt3778178|tt1091794
nm5556806,Asit Sen,1922,2001,director|writer|assistant_director,tt0398193|tt0148692|tt0321968|tt1524567
